Product ID,Product Name,Category,Sub-Category,Total_Revenue,Total_Cost,Total_Profit,Total_Units,Avg_Discount,Avg_Price,Transactions,Margin_Pct,Revenue_Sharing,Is_Tail
FUR-ADV-10002601,"Advantus Photo Frame, Erganomic",Furniture,Furnishings,495.36,295.35,200.01,11,0.13999999999999999,44.376,5,40.38,0.004,False
FUR-ADV-10002632,"Advantus Door Stop, Duo Pack",Furniture,Furnishings,36.072,84.78,-48.708,2,0.6,18.036,1,-135.03,0.0,True
FUR-ADV-10002889,"Advantus Clock, Durable",Furniture,Furnishings,803.772,865.26,-61.48800000000001,19,0.08571428571428572,44.269714285714294,7,-7.65,0.006,False
FUR-ADV-10003147,"Advantus Stacking Tray, Erganomic",Furniture,Furnishings,187.2,129.35999999999999,57.84,8,0.0,23.4,5,30.9,0.001,False
FUR-ADV-10003326,"Advantus Light Bulb, Black",Furniture,Furnishings,54.189,42.6,11.589,4,0.32499999999999996,13.54725,4,21.39,0.0,True
FUR-ADV-10004159,"Advantus Frame, Durable",Furniture,Furnishings,194.67,481.35,-286.68,5,0.6333333333333333,39.655,3,-147.26,0.002,False
FUR-ADV-10004223,"Advantus Clock, Black",Furniture,Furnishings,66.807,73.02,-6.212999999999999,2,0.35,33.4035,2,-9.3,0.001,True
FUR-ADV-10004395,"Advantus Door Stop, Durable",Furniture,Furnishings,614.076,609.87,4.206,29,0.31999999999999995,28.600800000000003,10,0.68,0.005,False
FUR-ADV-10004499,"Advantus Photo Frame, Durable",Furniture,Furnishings,250.04999999999998,210.15,39.900000000000006,5,0.0,50.01,3,15.96,0.002,False
FUR-ADV-10004718,"Advantus Light Bulb, Duo Pack",Furniture,Furnishings,124.80599999999998,144.99,-20.184,9,0.27999999999999997,14.4936,5,-16.17,0.001,False
FUR-ADV-10004971,"Advantus Door Stop, Erganomic",Furniture,Furnishings,392.84999999999997,271.08,121.77,9,0.0,43.65,2,31.0,0.003,False
FUR-BAR-10000560,"Barricks Round Table, with Bottom Storage",Furniture,Tables,1003.02,972.96,30.06,2,0.0,501.51,1,3.0,0.008,False
FUR-BAR-10000831,"Barricks Training Table, Fully Assembled",Furniture,Tables,319.77,198.26999999999998,121.5,1,0.0,319.77,1,38.0,0.003,False
FUR-BAR-10000946,"Barricks Computer Table, with Bottom Storage",Furniture,Tables,3360.21,3225.81,134.4,7,0.0,480.03,2,4.0,0.027,False
FUR-BAR-10001039,"Barricks Coffee Table, Fully Assembled",Furniture,Tables,212.079,515.1,-303.02099999999996,2,0.6499999999999999,106.0395,2,-142.88,0.002,False
FUR-BAR-10002449,"Barricks Training Table, Adjustable Height",Furniture,Tables,7371.2699999999995,5012.849999999999,2358.42,23,0.0,320.49,3,31.99,0.058,False
FUR-BAR-10002710,"Barricks Coffee Table, Adjustable Height",Furniture,Tables,364.428,911.16,-546.732,4,0.7,91.107,1,-150.02,0.003,False
FUR-BAR-10003465,"Barricks Computer Table, Adjustable Height",Furniture,Tables,285.246,836.76,-551.514,2,0.7,142.623,2,-193.35,0.002,False
FUR-BAR-10003532,"Barricks Conference Table, Rectangular",Furniture,Tables,3075.81,5536.620000000001,-2460.8100000000004,9,0.35,588.0225,2,-80.01,0.024,False
FUR-BAR-10003576,"Barricks Training Table, with Bottom Storage",Furniture,Tables,636.6,375.6,261.0,2,0.0,318.3,2,41.0,0.005,False
FUR-BAR-10004434,"Barricks Wood Table, Rectangular",Furniture,Tables,2058.0,1111.3200000000002,946.68,4,0.0,514.5,1,46.0,0.016,False
FUR-BAR-10004553,"Barricks Training Table, Rectangular",Furniture,Tables,568.566,862.3799999999999,-293.81399999999996,3,0.39999999999999997,189.52200000000002,3,-51.68,0.004,False
FUR-BAR-10004561,"Barricks Wood Table, Fully Assembled",Furniture,Tables,518.4,451.02,67.38,1,0.0,518.4,1,13.0,0.004,False
FUR-BAR-10004682,"Barricks Round Table, Fully Assembled",Furniture,Tables,2011.92,1086.48,925.44,4,0.0,502.98,1,46.0,0.016,False
FUR-BEV-10000326,"Bevis Wood Table, Rectangular",Furniture,Tables,531.18,440.87999999999994,90.3,1,0.0,531.18,1,17.0,0.004,False
FUR-BEV-10000388,"Bevis Coffee Table, Rectangular",Furniture,Tables,315.75,186.3,129.45,1,0.0,315.75,1,41.0,0.002,False
FUR-BEV-10001048,"Bevis Conference Table, with Bottom Storage",Furniture,Tables,923.76,674.37,249.39,1,0.0,923.76,1,27.0,0.007,False
FUR-BEV-10001217,"Bevis Wood Table, Fully Assembled",Furniture,Tables,1070.16,749.1600000000001,321.0,2,0.0,535.08,1,30.0,0.008,False
FUR-BEV-10001853,"Bevis Computer Table, Adjustable Height",Furniture,Tables,984.18,639.72,344.46,2,0.0,492.09,1,35.0,0.008,False
FUR-BEV-10002193,"Bevis Round Table, Adjustable Height",Furniture,Tables,1248.912,3028.6800000000003,-1779.768,6,0.6,208.15200000000002,1,-142.51,0.01,False
FUR-BEV-10002369,"Bevis Training Table, Fully Assembled",Furniture,Tables,942.06,2049.1800000000003,-1107.12,7,0.35,218.6925,2,-117.52,0.007,False
FUR-BEV-10002803,"Bevis Conference Table, Fully Assembled",Furniture,Tables,925.23,619.9200000000001,305.31,1,0.0,925.23,1,33.0,0.007,False
FUR-BEV-10003414,"Bevis Computer Table, Fully Assembled",Furniture,Tables,694.386,515.88,178.50600000000003,2,0.3,347.193,2,25.71,0.005,False
FUR-BEV-10004805,"Bevis Conference Table, Rectangular",Furniture,Tables,1842.66,958.2,884.46,2,0.0,921.33,1,48.0,0.015,False
FUR-BEV-10004919,"Bevis Wood Table, with Bottom Storage",Furniture,Tables,2668.05,1814.4,853.65,5,0.0,533.61,2,32.0,0.021,False
FUR-BO-10000002,"Bush Classic Bookcase, Mobile",Furniture,Bookcases,4442.639999999999,4338.84,103.8,11,0.05,394.44,4,2.34,0.035,False
FUR-BO-10000008,"Sauder Library with Doors, Traditional",Furniture,Bookcases,465.156,721.02,-255.864,2,0.4,232.578,1,-55.01,0.004,False
FUR-BO-10000021,"Dania Corner Shelving, Metal",Furniture,Bookcases,243.06,141.0,102.06,2,0.0,121.53,1,41.99,0.002,False
FUR-BO-10000022,"Dania Floating Shelf Set, Traditional",Furniture,Bookcases,2201.55,2157.54,44.010000000000005,14,0.06666666666666667,158.06000000000003,3,2.0,0.017,False
FUR-BO-10000034,"Safco Classic Bookcase, Pine",Furniture,Bookcases,1450.35,2109.6,-659.25,5,0.3666666666666667,278.34999999999997,3,-45.45,0.011,False
FUR-BO-10000035,"Dania Classic Bookcase, Pine",Furniture,Bookcases,8308.1376,5019.84,3288.2976,21,0.034,398.09826,5,39.58,0.066,False
FUR-BO-10000038,"Bush Library with Doors, Pine",Furniture,Bookcases,2632.824,4300.5599999999995,-1667.736,18,0.3,170.64600000000002,4,-63.34,0.021,False
FUR-BO-10000071,"Safco 3-Shelf Cabinet, Metal",Furniture,Bookcases,3046.23,1962.8400000000001,1083.3899999999999,22,0.1025,151.04925,8,35.56,0.024,False
FUR-BO-10000087,"Dania Classic Bookcase, Mobile",Furniture,Bookcases,3153.3264,3141.12,12.20640000000003,8,0.12333333333333334,362.30879999999996,3,0.39,0.025,False
FUR-BO-10000087,"Sauder Corner Shelving, Pine",Furniture,Bookcases,2081.1,2009.8,71.30000000000001,26,0.17142857142857146,82.11142857142856,7,3.43,0.016,False
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,Bookcases,825.174,943.056,-117.882,9,0.3,91.68599999999999,1,-14.29,0.007,False
FUR-BO-10000112,"Dania Corner Shelving, Pine",Furniture,Bookcases,1568.6682,1333.3500000000001,235.3182,15,0.184,100.71072000000001,5,15.0,0.012,False
FUR-BO-10000120,"Sauder Stackable Bookrack, Mobile",Furniture,Bookcases,1262.652,1042.5,220.152,10,0.3,102.774,2,17.44,0.01,False
FUR-BO-10000148,"Bush 3-Shelf Cabinet, Metal",Furniture,Bookcases,818.892,1047.42,-228.528,11,0.2,76.176,4,-27.91,0.006,False
FUR-BO-10000155,"Dania Corner Shelving, Metal",Furniture,Bookcases,1798.644,1288.8,509.84400000000005,20,0.3,85.071,4,28.35,0.014,False
FUR-BO-10000160,"Safco Library with Doors, Pine",Furniture,Bookcases,704.052,391.14000000000004,312.912,2,0.1,352.026,1,44.44,0.006,False
FUR-BO-10000170,"Safco Library with Doors, Mobile",Furniture,Bookcases,4943.106,5218.08,-274.974,14,0.1,353.07899999999995,2,-5.56,0.039,False
FUR-BO-10000175,"Ikea Stackable Bookrack, Metal",Furniture,Bookcases,1934.334,1493.79,440.544,17,0.074,113.00904,5,22.77,0.015,False
FUR-BO-10000184,"Sauder Floating Shelf Set, Mobile",Furniture,Bookcases,157.68,303.54,-145.86,3,0.6,52.56,1,-92.5,0.001,False
FUR-BO-10000195,"Dania Stackable Bookrack, Pine",Furniture,Bookcases,1179.045,908.64,270.405,12,0.15,105.4935,3,22.93,0.009,False
FUR-BO-10000203,"Sauder Library with Doors, Metal",Furniture,Bookcases,6874.7184,4265.879999999999,2608.8384,19,0.06166666666666667,363.21945,6,37.95,0.054,False
FUR-BO-10000208,"Bush Stackable Bookrack, Mobile",Furniture,Bookcases,3890.565,2935.3500000000004,955.215,33,0.1,111.15899999999999,5,24.55,0.031,False
FUR-BO-10000210,"Ikea Library with Doors, Pine",Furniture,Bookcases,8797.5288,6638.58,2158.9488,26,0.04625,347.87077500000004,8,24.54,0.07,False
FUR-BO-10000214,"Ikea Library with Doors, Pine",Furniture,Bookcases,291.792,685.74,-393.948,3,0.6,97.264,1,-135.01,0.002,False
FUR-BO-10000243,"Safco Floating Shelf Set, Pine",Furniture,Bookcases,4690.7712,4105.08,585.6912,28,0.135,171.34785,4,12.49,0.037,False
FUR-BO-10000259,"Safco Classic Bookcase, Traditional",Furniture,Bookcases,7667.625,6809.04,858.585,21,0.09999999999999999,394.335,6,11.2,0.061,False
FUR-BO-10000265,"Bush Floating Shelf Set, Pine",Furniture,Bookcases,2364.8940000000002,1667.82,697.074,14,0.04,165.7152,5,29.48,0.019,False
FUR-BO-10000268,"Bush Library with Doors, Pine",Furniture,Bookcases,877.608,1301.88,-424.272,4,0.3,255.969,2,-48.34,0.007,False
FUR-BO-10000268,"Ikea 3-Shelf Cabinet, Traditional",Furniture,Bookcases,626.736,472.08000000000004,154.656,7,0.1,85.464,2,24.68,0.005,False
FUR-BO-10000269,"Dania Stackable Bookrack, Pine",Furniture,Bookcases,893.592,699.4,194.19199999999998,13,0.2,66.192,5,21.73,0.007,False
FUR-BO-10000279,"Dania Classic Bookcase, Pine",Furniture,Bookcases,6222.861,5687.4,535.461,20,0.16,346.1723999999999,5,8.6,0.049,False
FUR-BO-10000288,"Safco Classic Bookcase, Traditional",Furniture,Bookcases,8368.664999999999,8500.2,-131.535,20,0.04,420.62399999999997,5,-1.57,0.066,False
FUR-BO-10000311,"Safco Floating Shelf Set, Metal",Furniture,Bookcases,1236.06,961.38,274.68,7,0.1,176.58,2,22.22,0.01,False
FUR-BO-10000321,"Dania Floating Shelf Set, Mobile",Furniture,Bookcases,893.7239999999999,1083.0,-189.276,10,0.5,85.935,2,-21.18,0.007,False
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,1064.624,1040.4279999999999,24.196000000000005,10,0.09999999999999999,108.88199999999999,3,2.27,0.008,False
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,Bookcases,2154.348,1843.1644000000001,311.1836,14,0.13,148.7526,5,14.44,0.017,False
FUR-BO-10000378,"Bush Floating Shelf Set, Pine",Furniture,Bookcases,1288.896,1242.9,45.995999999999995,15,0.25,86.31,4,3.57,0.01,False
FUR-BO-10000402,"Sauder Stackable Bookrack, Traditional",Furniture,Bookcases,833.796,746.0999999999999,87.696,6,0.05,138.966,2,10.52,0.007,False
FUR-BO-10000411,"Sauder Floating Shelf Set, Metal",Furniture,Bookcases,2820.0480000000002,1739.0400000000002,1081.008,24,0.1,116.424,4,38.33,0.022,False
FUR-BO-10000425,"Bush Floating Shelf Set, Traditional",Furniture,Bookcases,959.1120000000001,1000.32,-41.20800000000001,8,0.2,137.01600000000002,2,-4.3,0.008,False
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,723.842,856.9512,-133.1092,21,0.18333333333333332,39.67366666666667,6,-18.39,0.006,False
FUR-BO-10000490,"Bush Library with Doors, Metal",Furniture,Bookcases,7784.892,7112.52,672.372,23,0.07500000000000001,336.4965,4,8.64,0.062,False
FUR-BO-10000502,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,5437.524,4911.6,525.924,20,0.10000000000000002,263.106,6,9.67,0.043,False
FUR-BO-10000514,"Bush Library with Doors, Traditional",Furniture,Bookcases,2586.6719999999996,3807.21,-1220.538,11,0.2333333333333333,279.31199999999995,3,-47.19,0.02,False
FUR-BO-10000517,"Ikea Stackable Bookrack, Metal",Furniture,Bookcases,260.352,618.4,-358.048,8,0.6,32.544,1,-137.52,0.002,False
FUR-BO-10000533,"Dania Corner Shelving, Pine",Furniture,Bookcases,493.68,439.44,54.24,4,0.0,123.42,1,10.99,0.004,False
FUR-BO-10000567,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases,10638.156,9748.960000000001,889.196,43,0.2,232.52800000000002,8,8.36,0.084,False
FUR-BO-10000596,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,9033.306,5788.8,3244.506,24,0.15,372.7335,6,35.92,0.071,False
FUR-BO-10000610,"Ikea Stackable Bookrack, Mobile",Furniture,Bookcases,1377.351,829.53,547.821,13,0.11,111.339,4,39.77,0.011,False
FUR-BO-10000616,"Dania Corner Shelving, Pine",Furniture,Bookcases,444.312,533.34,-89.028,6,0.4,74.052,1,-20.04,0.004,False
FUR-BO-10000623,"Safco Library with Doors, Metal",Furniture,Bookcases,311.4,685.0799999999999,-373.68,2,0.6,155.7,1,-120.0,0.002,False
FUR-BO-10000624,"Safco Classic Bookcase, Metal",Furniture,Bookcases,6301.584,6372.08,-70.49600000000004,26,0.14285714285714285,250.06285714285718,7,-1.12,0.05,False
FUR-BO-10000636,"Dania Floating Shelf Set, Metal",Furniture,Bookcases,1688.1000000000001,1195.2,492.9,18,0.12000000000000002,99.0352,5,29.2,0.013,False
FUR-BO-10000655,"Dania Classic Bookcase, Traditional",Furniture,Bookcases,1109.052,1022.8499999999999,86.202,3,0.1,369.68399999999997,1,7.77,0.009,False
FUR-BO-10000666,"Ikea 3-Shelf Cabinet, Mobile",Furniture,Bookcases,1304.64,1122.12,182.52,9,0.0,144.96,2,13.99,0.01,False
FUR-BO-10000668,"Ikea Corner Shelving, Traditional",Furniture,Bookcases,246.12,179.7,66.42,2,0.0,123.06,1,26.99,0.002,False
FUR-BO-10000668,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,3130.9614,3087.12,43.84139999999999,8,0.17,363.96330000000006,3,1.4,0.025,False
FUR-BO-10000670,"Dania Corner Shelving, Metal",Furniture,Bookcases,3062.556,2115.0,947.556,30,0.12,106.9464,5,30.94,0.024,False
FUR-BO-10000676,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,1361.124,1915.68,-554.556,16,0.2833333333333333,90.32150000000001,3,-40.74,0.011,False
FUR-BO-10000684,"Sauder Corner Shelving, Traditional",Furniture,Bookcases,2106.39,2192.16,-85.77,16,0.16,123.73200000000001,5,-4.07,0.017,False
FUR-BO-10000699,"Sauder 3-Shelf Cabinet, Traditional",Furniture,Bookcases,3798.6372,3560.4,238.23719999999997,24,0.06166666666666667,156.4014,6,6.27,0.03,False
FUR-BO-10000700,"Sauder Floating Shelf Set, Metal",Furniture,Bookcases,232.848,329.88,-97.032,2,0.4,116.424,1,-41.67,0.002,False
FUR-BO-10000711,"Hon Metal Bookcases, Gray",Furniture,Bookcases,851.76,621.7848,229.9752,12,0.0,70.98,2,27.0,0.007,False
FUR-BO-10000712,"Bush Corner Shelving, Pine",Furniture,Bookcases,250.68,137.88,112.8,2,0.0,125.34,1,45.0,0.002,False
FUR-BO-10000728,"Dania Corner Shelving, Traditional",Furniture,Bookcases,3369.132,2256.24,1112.892,28,0.016666666666666666,120.03550000000001,6,33.03,0.027,False
FUR-BO-10000728,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases,7014.972,6032.32,982.6519999999999,28,0.05714285714285715,260.39828571428575,7,14.01,0.055,False
FUR-BO-10000734,"Bush Corner Shelving, Pine",Furniture,Bookcases,1253.4,1069.6,183.8,20,0.2285714285714286,64.46057142857144,7,14.66,0.01,False
FUR-BO-10000746,"Ikea Corner Shelving, Mobile",Furniture,Bookcases,1322.776,811.58,511.19599999999997,17,0.08,77.02239999999999,5,38.65,0.01,False
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,2946.3668,3714.1104,-767.7436,22,0.332,134.25464000000002,5,-26.06,0.023,False
FUR-BO-10000786,"Sauder Stackable Bookrack, Pine",Furniture,Bookcases,3304.191,2181.09,1123.101,23,0.025,144.46575,4,33.99,0.026,False
FUR-BO-10000791,"Dania Library with Doors, Traditional",Furniture,Bookcases,483.2,1063.1,-579.9,5,0.6,96.64,1,-120.01,0.004,False
FUR-BO-10000797,"Safco 3-Shelf Cabinet, Pine",Furniture,Bookcases,1072.197,1000.8599999999999,71.337,7,0.10000000000000002,153.171,3,6.65,0.008,False
FUR-BO-10000807,"Sauder Floating Shelf Set, Mobile",Furniture,Bookcases,473.04,496.8,-23.76,4,0.4,118.26,1,-5.02,0.004,False
FUR-BO-10000820,"Sauder 3-Shelf Cabinet, Metal",Furniture,Bookcases,598.104,432.0,166.104,4,0.1,149.526,1,27.77,0.005,False
FUR-BO-10000847,"Dania Stackable Bookrack, Mobile",Furniture,Bookcases,2006.235,1293.8999999999999,712.335,19,0.16,102.1356,5,35.51,0.016,False
FUR-BO-10000883,"Dania Corner Shelving, Mobile",Furniture,Bookcases,950.6217,986.88,-36.2583,8,0.185,101.54085,2,-3.81,0.008,False
FUR-BO-10000889,"Safco 3-Shelf Cabinet, Mobile",Furniture,Bookcases,205.632,291.36,-85.728,2,0.4,102.816,1,-41.69,0.002,False
FUR-BO-10000891,"Ikea Classic Bookcase, Pine",Furniture,Bookcases,3470.04,3866.76,-396.72,18,0.3,192.78,4,-11.43,0.027,False
FUR-BO-10000892,"Bush Corner Shelving, Mobile",Furniture,Bookcases,759.06,743.9399999999999,15.12,6,0.0,126.50999999999999,1,1.99,0.006,False
FUR-BO-10000895,"Sauder Corner Shelving, Metal",Furniture,Bookcases,1394.22,1042.2,352.02,10,0.05,139.422,4,25.25,0.011,False
FUR-BO-10000895,"Sauder Stackable Bookrack, Pine",Furniture,Bookcases,582.426,555.6600000000001,26.766,6,0.35,97.07100000000001,1,4.6,0.005,False
FUR-BO-10000936,"Bush Floating Shelf Set, Traditional",Furniture,Bookcases,1866.8429999999998,1545.06,321.783,11,0.025,166.98825,4,17.24,0.015,False
FUR-BO-10000961,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,2197.536,1678.32,519.216,21,0.13999999999999999,107.37960000000001,5,23.63,0.017,False
FUR-BO-10000967,"Ikea Library with Doors, Pine",Furniture,Bookcases,6346.476,5376.36,970.116,22,0.24,277.2024,5,15.29,0.05,False
FUR-BO-10000980,"Bush Library with Doors, Traditional",Furniture,Bookcases,5289.9264,3497.85,1792.0764,15,0.04857142857142858,346.6244571428571,7,33.88,0.042,False
FUR-BO-10001003,"Dania 3-Shelf Cabinet, Traditional",Furniture,Bookcases,1555.9499999999998,809.1599999999999,746.79,11,0.0,141.45,2,48.0,0.012,False
FUR-BO-10001010,"Dania Corner Shelving, Mobile",Furniture,Bookcases,2267.538,1769.3999999999999,498.13800000000003,20,0.1,112.131,4,21.97,0.018,False
FUR-BO-10001039,"Dania Classic Bookcase, Traditional",Furniture,Bookcases,5586.336,4448.849999999999,1137.486,19,0.21666666666666667,321.762,6,20.36,0.044,False
FUR-BO-10001042,"Dania 3-Shelf Cabinet, Pine",Furniture,Bookcases,1961.12,2023.0,-61.88000000000001,25,0.2,76.16,7,-3.16,0.016,False
FUR-BO-10001067,"Bush Stackable Bookrack, Pine",Furniture,Bookcases,1032.176,905.92,126.256,16,0.24000000000000005,63.2624,5,12.23,0.008,False
FUR-BO-10001073,"Safco Classic Bookcase, Metal",Furniture,Bookcases,7246.8216,6380.64,866.1816,18,0.1175,386.190825,4,11.95,0.057,False
FUR-BO-10001099,"Bush Corner Shelving, Traditional",Furniture,Bookcases,975.3879999999999,942.6,32.788,15,0.2,66.128,4,3.36,0.008,False
FUR-BO-10001133,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases,6296.904,4507.68,1789.224,16,0.08,381.1284,5,28.41,0.05,False
FUR-BO-10001147,"Bush Floating Shelf Set, Metal",Furniture,Bookcases,2784.6063,2400.8399999999997,383.7663,19,0.07833333333333332,157.35615,6,13.78,0.022,False
FUR-BO-10001155,"Dania 3-Shelf Cabinet, Traditional",Furniture,Bookcases,2148.6255,2260.83,-112.2045,17,0.12,124.47600000000001,6,-5.22,0.017,False
FUR-BO-10001155,"Ikea 3-Shelf Cabinet, Metal",Furniture,Bookcases,752.0699999999999,834.54,-82.47,7,0.19999999999999998,113.52,3,-10.97,0.006,False
FUR-BO-10001165,"Bush Library with Doors, Mobile",Furniture,Bookcases,3448.2960000000003,3492.7200000000003,-44.42399999999998,14,0.2,293.47200000000004,4,-1.29,0.027,False
FUR-BO-10001192,"Bush Library with Doors, Mobile",Furniture,Bookcases,5575.968,3763.8,1812.1680000000001,18,0.1285714285714286,319.67485714285715,7,32.5,0.044,False
FUR-BO-10001196,"Bush Library with Doors, Pine",Furniture,Bookcases,4786.6203000000005,4724.64,61.98030000000003,17,0.1925,295.278525,4,1.29,0.038,False
FUR-BO-10001201,"Bush Stackable Bookrack, Mobile",Furniture,Bookcases,1811.48,1173.5,637.98,25,0.13333333333333333,71.36133333333333,6,35.22,0.014,False
FUR-BO-10001212,"Safco Classic Bookcase, Mobile",Furniture,Bookcases,9187.9695,9413.28,-225.3105,24,0.1557142857142857,372.0513857142857,7,-2.45,0.073,False
FUR-BO-10001216,"Sauder 3-Shelf Cabinet, Mobile",Furniture,Bookcases,3480.444,2436.48,1043.964,24,0.154,143.1432,5,30.0,0.028,False
FUR-BO-10001233,"Ikea 3-Shelf Cabinet, Mobile",Furniture,Bookcases,753.792,1122.1200000000001,-368.328,9,0.5,72.48,2,-48.86,0.006,False
FUR-BO-10001254,"Dania 3-Shelf Cabinet, Mobile",Furniture,Bookcases,287.94,287.94,0.0,2,0.0,143.97,1,0.0,0.002,False
FUR-BO-10001255,"Ikea Library with Doors, Mobile",Furniture,Bookcases,4903.194,5035.200000000001,-132.00600000000003,16,0.175,301.87575,4,-2.69,0.039,False
FUR-BO-10001256,"Ikea Corner Shelving, Pine",Furniture,Bookcases,821.106,801.3599999999999,19.746,7,0.05,118.18950000000001,2,2.4,0.006,False
FUR-BO-10001271,"Sauder Classic Bookcase, Pine",Furniture,Bookcases,349.872,463.62,-113.748,3,0.6,116.62400000000001,1,-32.51,0.003,False
FUR-BO-10001276,"Safco Floating Shelf Set, Mobile",Furniture,Bookcases,318.816,414.47999999999996,-95.664,6,0.6,53.135999999999996,2,-30.01,0.003,False
FUR-BO-10001287,"Dania Floating Shelf Set, Metal",Furniture,Bookcases,2245.173,1465.38,779.793,14,0.05000000000000001,160.3695,6,34.73,0.018,False
FUR-BO-10001295,"Safco Floating Shelf Set, Traditional",Furniture,Bookcases,1232.904,779.24,453.664,11,0.13333333333333333,113.67199999999998,3,36.8,0.01,False
FUR-BO-10001309,"Ikea Classic Bookcase, Traditional",Furniture,Bookcases,1235.25,975.8700000000001,259.38,3,0.0,411.75,2,21.0,0.01,False
FUR-BO-10001318,"Safco Library with Doors, Mobile",Furniture,Bookcases,418.464,606.8,-188.336,4,0.6,104.616,1,-45.01,0.003,False
FUR-BO-10001324,"Sauder Floating Shelf Set, Pine",Furniture,Bookcases,2978.136,2413.92,564.216,16,0.06666666666666667,182.86800000000002,3,18.95,0.024,False
FUR-BO-10001326,"Bush 3-Shelf Cabinet, Pine",Furniture,Bookcases,1447.2,1201.2,246.0,10,0.0,144.72,4,17.0,0.011,False
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,2970.059,3048.696,-78.637,28,0.11000000000000001,107.6722,10,-2.65,0.023,False
FUR-BO-10001342,"Safco Corner Shelving, Metal",Furniture,Bookcases,2345.49,2531.64,-186.15,17,0.09166666666666667,135.26899999999998,6,-7.94,0.019,False
FUR-BO-10001356,"Ikea Library with Doors, Mobile",Furniture,Bookcases,6342.4400000000005,5464.4800000000005,877.96,28,0.06666666666666668,227.67733333333334,9,13.84,0.05,False
FUR-BO-10001358,"Bush 3-Shelf Cabinet, Traditional",Furniture,Bookcases,688.176,927.2,-239.024,10,0.26666666666666666,70.092,3,-34.73,0.005,False
FUR-BO-10001362,"Ikea Classic Bookcase, Metal",Furniture,Bookcases,1315.8719999999998,1398.12,-82.248,4,0.2,328.96799999999996,2,-6.25,0.01,False
FUR-BO-10001369,"Sauder Stackable Bookrack, Mobile",Furniture,Bookcases,665.584,520.8,144.784,7,0.05,92.98599999999999,4,21.75,0.005,False
FUR-BO-10001370,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases,1140.126,1157.67,-17.54400000000001,3,0.2,350.808,2,-1.54,0.009,False
